Dive Code, Board, Dive Description, DD
001A,1M,Forward Entry Straight,1.00
001A,3M,Forward Entry Straight,1.00
001A,5M,Forward Entry Straight,1.00
001A,7M,Forward Entry Straight,1.00
001A,10M,Forward Entry Straight,1.00
001B,1M,Forward Entry Pike,1.00
001B,3M,Forward Entry Pike,1.00
001B,5M,Forward Entry Pike,1.00
001B,7M,Forward Entry Pike,1.00
001B,10M,Forward Entry Pike,1.00
001C,1M,Forward Entry Tuck,1.00
001C,3M,Forward Entry Tuck,1.00
001C,5M,Forward Entry Tuck,1.00
001C,7M,Forward Entry Tuck,1.00
001C,10M,Forward Entry Tuck,1.00
001D,1M,Forward Entry Free,1.00
001D,3M,Forward Entry Free,1.00
001D,5M,Forward Entry Free,1.00
001D,7M,Forward Entry Free,1.00
001D,10M,Forward Entry Free,1.00
002A,1M,Back Entry Straight,1.00
002A,3M,Back Entry Straight,1.00
002A,5M,Back Entry Straight,1.00
002A,7M,Back Entry Straight,1.00
002A,10M,Back Entry Straight,1.00
002B,1M,Back Entry Pike,1.00
002B,3M,Back Entry Pike,1.00
002B,5M,Back Entry Pike,1.00
002B,7M,Back Entry Pike,1.00
002B,10M,Back Entry Pike,1.00
002C,1M,Back Entry Tuck,1.00
002C,3M,Back Entry Tuck,1.00
002C,5M,Back Entry Tuck,1.00
002C,7M,Back Entry Tuck,1.00
002C,10M,Back Entry Tuck,1.00
002D,1M,Back Entry Free,1.00
002D,3M,Back Entry Free,1.00
002D,5M,Back Entry Free,1.00
002D,7M,Back Entry Free,1.00
002D,10M,Back Entry Free,1.00
100A,1M,Forward Jump Straight,1.00
100A,3M,Forward Jump Straight,1.00
100A,5M,Forward Jump Straight,1.00
100A,7M,Forward Jump Straight,1.00
100A,10M,Forward Jump Straight,1.00
100B,1M,Forward Jump Pike,1.00
100B,3M,Forward Jump Pike,1.00
100B,5M,Forward Jump Pike,1.00
100B,7M,Forward Jump Pike,1.00
100B,10M,Forward Jump Pike,1.00
100C,1M,Forward Jump Tuck,1.00
100C,3M,Forward Jump Tuck,1.00
100C,5M,Forward Jump Tuck,1.00
100C,7M,Forward Jump Tuck,1.00
100C,10M,Forward Jump Tuck,1.00
100D,1M,Forward Jump Free,1.00
100D,3M,Forward Jump Free,1.00
100D,5M,Forward Jump Free,1.00
100D,7M,Forward Jump Free,1.00
